annotation_property,label,iri,domain,range,comment
rdf-schema.comment,[],http://www.w3.org/2000/01/rdf-schema#comment,[],[],[]
rdf-schema.label,[],http://www.w3.org/2000/01/rdf-schema#label,[],[],[]
terms.license,[],http://purl.org/dc/terms/license,[],[],[]
obo.IAO_0000115,['definition'],http://purl.obolibrary.org/obo/IAO_0000115,[],[],[]
terms.description,[],http://purl.org/dc/terms/description,[],[],[]
terms.title,[],http://purl.org/dc/terms/title,[],[],[]
oboInOwl.auto-generated-by,[],http://www.geneontology.org/formats/oboInOwl#auto-generated-by,[],[],[]
oboInOwl.date,[],http://www.geneontology.org/formats/oboInOwl#date,[],[],[]
oboInOwl.default-namespace,[],http://www.geneontology.org/formats/oboInOwl#default-namespace,[],[],[]
oboInOwl.hasBroadSynonym,['has_broad_synonym'],http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,[],[],[]
oboInOwl.hasDbXref,['database_cross_reference'],http://www.geneontology.org/formats/oboInOwl#hasDbXref,[],[],[]
oboInOwl.hasExactSynonym,['has_exact_synonym'],http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,[],[],[]
oboInOwl.hasNarrowSynonym,['has_narrow_synonym'],http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,[],[],[]
oboInOwl.hasOBOFormatVersion,['has_obo_format_version'],http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion,[],[],[]
oboInOwl.hasOBONamespace,['has_obo_namespace'],http://www.geneontology.org/formats/oboInOwl#hasOBONamespace,[],[],[]
oboInOwl.hasRelatedSynonym,['has_related_synonym'],http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,[],[],[]
oboInOwl.hasSynonymType,['has_synonym_type'],http://www.geneontology.org/formats/oboInOwl#hasSynonymType,[],[],[]
oboInOwl.id,[],http://www.geneontology.org/formats/oboInOwl#id,[],[],[]
oboInOwl.saved-by,[],http://www.geneontology.org/formats/oboInOwl#saved-by,[],[],[]
oboInOwl.shorthand,['shorthand'],http://www.geneontology.org/formats/oboInOwl#shorthand,[],[],[]
